Paxton Residence Hotel Spa	3 etoiles. Review : 8.4. URL : http://www.easytobook.com/en/france/paris/paris/paxton-residence-hotel-spa/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	Rue Joseph Paxton 1  &#44  Ferrieres En Brie 49771 Paris France	48.82760	2.70900	hotels
Hotel Beaugency	3 etoiles. Review : 8.6. URL : http://www.easytobook.com/en/france/paris/paris/minotel-beaugency/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	21 &#44  rue Duvivier 75007 Paris France	48.85640	2.30720	hotels
Hotel Apollinaire	3 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/minotel-apollinaire/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	39 &#44  rue Delambre 75014 Paris France	48.84130	2.32540	hotels
Hotel Bassano	4 etoiles. Review : 9.1. URL : http://www.easytobook.com/en/france/paris/paris/hotel-bassano/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	15 &#44  Rue de Bassano 75116 Paris France	48.86900	2.29730	hotels
Hotel Elysees Regencia	4 etoiles. Review : 9.4. URL : http://www.easytobook.com/en/france/paris/paris/hotel-elysees-regencia/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	41 Avenue Marceau 75116 Paris France	48.86880	2.29880	hotels
Holiday Inn Paris Montparnasse Avenue du Maine	3 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/holiday-inn-paris-montparnasse-avenue-du-maine/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	79-81 Avenue Du Maine 75014 Paris France	48.83840	2.32290	hotels
Residence de la Tour	2 etoiles. Review : 7.6. URL : http://www.easytobook.com/en/france/paris/paris/residence-de-la-tour/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	43 &#44  avenue Pierre Larousse 92240 Paris France	48.69180	2.30270	hotels
Hotel Belfast	3 etoiles. Review : 7.8. URL : http://www.easytobook.com/en/france/paris/paris/hotel-belfast/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	10 Avenue Carnot 75017 Paris France	48.87550	2.29370	hotels
Avalon Hotel	2 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-londres-anvers-/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	131-133 Boulevard Magenta 75010 Paris France	48.88110	2.35160	hotels
le Relais du Marais	2 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/le-relais-du-marais/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	76 rue de Turbigo 75003 Paris France	48.86680	2.36110	hotels
